Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_State,Geo_tractcd,Geo_NHGISST,Geo_NHGISCTY,Geo_GISJOIN,Geo_GISJoin2,Geo_DECADE,Geo_state60,Geo_county60,Geo_Supp_trc_pcs_count,Geo_SuppFP_1,Geo_SuppFP_2,Geo_SuppFP_3,Geo_SuppFP_4,Geo_SuppFP_5,Geo_Supp1,Geo_Supp2,Geo_Supp3,Geo_Supp4,Geo_Supp5,SE_T001_001,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T031_001,SE_T031_002,SE_T031_003,SE_T031_004,SE_T031_005,SE_T031_006,SE_T031_007,SE_T031_008,SE_T031_009,SE_T032_001,SE_T032_002,SE_T032_003,SE_T032_004,SE_T032_005,SE_T032_006,SE_T032_007,SE_T032_008,SE_T032_009,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007,SE_T033_008,SE_T033_009,SE_T089_001,SE_T089_002,SE_T089_003,SE_T089_004,SE_T089_005,SE_T089_006,SE_T089_007,SE_T089_008,SE_T089_009,SE_T089_010,SE_T089_011,SE_T089_012,SE_T089_013,SE_T089_014,SE_T105_001,SE_T111_001,SE_T111_002,SE_T111_003,SE_T116_001,SE_T116_002,SE_T116_003,SE_T116_004,SE_T116_005,SE_T116_006,SE_T116_007,SE_T116_008,SE_T116_009,SE_T116_010,SE_T116_011
"Census Tract M0036000","Census Tract M0036000, Montgomery County, Pennsylvania","140","420910M0036000","42","00M0036000","420","0910","G4200910M0036","4200910M0036","1960","23","046",1,0,0,0,0,0,0,0,0,0,0,9031,9031,7772,1234,25,2272,2136,730,1233,1134,912,842,3156,2689,2034,1931,651,1119,999,826,722,2713,2369,238,205,79,114,135,86,120,443,320,3000,289,183,231,218,344,354,324,246,211,138,338,77,47,2754,2684,2012,672,2713,2684,2012,1809,203,672,568,104,29,24,5
"Census Tract M0037000","Census Tract M0037000, Montgomery County, Pennsylvania","140","420910M0037000","42","00M0037000","420","0910","G4200910M0037","4200910M0037","1960","23","046",2,2,2,2,0,2,1,1,1,0,1,4697,4697,4241,452,4,32,32,24,32,28,28,69,147,69,32,32,24,32,28,28,65,129,69,0,0,0,0,0,0,4,18,0,97,21,8,4,8,16,8,0,12,4,4,4,4,4,44,44,4,40,44,44,0,0,0,44,43,1,0,0,0
"Census Tract M0038000","Census Tract M0038000, Montgomery County, Pennsylvania","140","420910M0038000","42","00M0038000","420","0910","G4200910M0038","4200910M0038","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,12016,12016,11870,141,5,2773,2656,840,1560,1402,1138,868,3876,3335,2755,2644,828,1548,1387,1126,861,3805,3287,18,12,12,12,15,12,7,71,48,3944,301,263,252,341,471,483,458,375,296,172,464,60,8,3824,3698,2409,1289,3778,3698,2409,2392,17,1289,1281,8,80,63,17
"Census Tract M0039000","Census Tract M0039000, Montgomery County, Pennsylvania","140","420910M0039000","42","00M0039000","420","0910","G4200910M0039","4200910M0039","1960","23","046",1,0,0,0,0,0,0,0,0,0,0,8467,8467,6752,1712,3,1845,1676,552,1016,987,778,1271,3242,2284,1588,1448,468,861,828,648,1051,2516,1854,257,228,84,155,159,130,220,726,430,2952,393,281,335,364,308,313,287,216,124,92,178,57,4,2628,2492,1192,1300,2581,2492,1192,986,206,1300,1152,148,89,77,12
"Census Tract M0040A00","Census Tract M0040A00, Montgomery County, Pennsylvania","140","420910M0040A00","42","00M004000A","420","0910","G4200910M0040A","4200910M0040A","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,5168,5168,5153,9,6,1299,1256,549,934,865,757,85,2118,1987,1291,1252,545,930,857,753,81,2100,1974,8,4,4,4,8,4,4,18,13,1432,43,33,55,44,95,134,177,178,182,126,259,88,18,1437,1410,1344,66,1429,1410,1327,1326,1,83,82,1,19,1,18
"Census Tract M0040B00","Census Tract M0040B00, Montgomery County, Pennsylvania","140","420910M0040B00","42","00M004000B","420","0910","G4200910M0040B","4200910M0040B","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,2263,2263,2136,125,2,597,556,207,359,283,258,52,814,730,564,523,198,336,264,239,48,767,683,33,33,9,23,19,19,4,47,47,623,23,31,20,42,79,71,103,35,64,35,74,26,20,633,611,483,128,624,611,489,471,18,122,110,12,13,5,8
"Census Tract M0040C00","Census Tract M0040C00, Montgomery County, Pennsylvania","140","420910M0040C00","42","00M004000C","420","0910","G4200910M0040C","4200910M0040C","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,3999,3999,3982,16,1,1025,987,483,732,734,655,54,1583,1535,1014,980,483,728,730,651,54,1570,1522,11,7,0,4,4,4,0,13,13,1090,49,8,30,24,72,156,164,172,147,85,163,20,0,1092,1070,1010,60,1079,1070,1010,1006,4,60,60,0,9,4,5
"Census Tract M0041A00","Census Tract M0041A00, Montgomery County, Pennsylvania","140","420910M0041A00","42","00M004100A","420","0910","G4200910M0041A","4200910M0041A","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,5830,5830,5767,63,0,1365,1336,408,797,644,536,194,1939,1722,1361,1332,408,793,640,532,194,1935,1718,4,4,0,4,4,4,0,4,4,1740,82,102,84,109,163,327,236,172,104,97,198,54,12,1738,1692,1430,262,1724,1692,1430,1415,15,262,259,3,32,18,14
"Census Tract M0041B00","Census Tract M0041B00, Montgomery County, Pennsylvania","140","420910M0041B00","42","00M004100B","420","0910","G4200910M0041B","4200910M0041B","1960","23","046",1,0,0,0,0,0,0,0,0,0,0,4429,4429,3926,495,8,988,909,312,551,459,369,255,1715,1446,904,836,285,506,437,354,252,1470,1274,84,73,27,45,22,15,3,245,172,1304,100,101,98,137,130,212,149,112,72,28,134,31,0,1306,1230,782,448,1281,1230,782,716,66,448,416,32,51,46,5
"Census Tract M0042000","Census Tract M0042000, Montgomery County, Pennsylvania","140","420910M0042000","42","00M0042000","420","0910","G4200910M0042","4200910M0042","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,2254,2254,2231,22,1,470,441,133,300,242,216,68,796,728,470,441,133,300,242,216,68,792,728,0,0,0,0,0,0,0,4,0,627,53,35,17,45,81,80,91,44,72,24,70,15,0,625,605,472,133,613,605,472,471,1,133,131,2,8,7,1
"Census Tract M0043000","Census Tract M0043000, Montgomery County, Pennsylvania","140","420910M0043000","42","00M0043000","420","0910","G4200910M0043","4200910M0043","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,2246,2246,2234,12,0,499,472,144,266,187,148,208,599,569,499,472,144,266,187,148,200,599,569,0,0,0,0,0,0,8,0,0,780,75,44,32,52,42,40,63,36,38,24,167,100,67,733,712,433,279,725,712,433,433,0,279,277,2,13,11,2
"Census Tract M0044000","Census Tract M0044000, Montgomery County, Pennsylvania","140","420910M0044000","42","00M0044000","420","0910","G4200910M0044","4200910M0044","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,3588,3588,3559,22,7,832,802,230,423,285,253,250,1153,1065,828,798,230,423,281,253,219,1153,1065,4,4,0,0,4,0,31,0,0,1104,57,30,57,42,79,23,59,63,51,57,202,247,137,1068,1030,818,212,1046,1030,818,817,1,212,209,3,16,7,9
"Census Tract M0045000","Census Tract M0045000, Montgomery County, Pennsylvania","140","420910M0045000","42","00M0045000","420","0910","G4200910M0045","4200910M0045","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,4971,4971,4890,67,14,1230,1196,219,582,328,279,478,1400,1306,1218,1188,219,578,320,275,437,1385,1297,12,8,0,4,8,4,41,15,9,1748,72,69,138,44,77,105,77,77,100,44,327,321,297,1572,1552,1179,373,1558,1552,1179,1176,3,373,368,5,6,1,5
"Census Tract M0046000","Census Tract M0046000, Montgomery County, Pennsylvania","140","420910M0046000","42","00M0046000","420","0910","G4200910M0046","4200910M0046","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,5253,5253,5195,57,1,1236,1218,351,771,472,456,421,1762,1634,1236,1218,351,771,472,456,362,1762,1634,0,0,0,0,0,0,59,0,0,1660,214,91,87,36,40,45,62,67,68,61,295,323,271,1435,1402,1366,36,1423,1402,1355,1354,1,47,47,0,21,1,20
"Census Tract M0047000","Census Tract M0047000, Montgomery County, Pennsylvania","140","420910M0047000","42","00M0047000","420","0910","G4200910M0047","4200910M0047","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,4769,4769,4715,40,14,1144,1116,386,806,569,526,172,1720,1605,1138,1110,383,803,563,523,139,1711,1596,6,6,3,3,6,3,33,9,9,1331,76,40,43,44,95,73,74,77,104,55,265,234,151,1299,1259,1140,119,1274,1259,1140,1135,5,119,118,1,15,12,3
"Census Tract M0048000","Census Tract M0048000, Montgomery County, Pennsylvania","140","420910M0048000","42","00M0048000","420","0910","G4200910M0048","4200910M0048","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,3796,3796,3722,72,2,919,891,243,589,392,345,409,1319,1246,913,891,243,589,386,345,347,1319,1246,6,0,0,0,6,0,62,0,0,1300,101,62,139,31,47,34,36,34,37,32,172,183,392,1092,1034,892,142,1048,1034,892,890,2,142,142,0,14,2,12
"Census Tract M0049000","Census Tract M0049000, Montgomery County, Pennsylvania","140","420910M0049000","42","00M0049000","420","0910","G4200910M0049","4200910M0049","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,4171,4171,4045,121,5,918,892,207,520,316,293,936,1236,1185,906,886,207,520,316,293,835,1236,1185,12,6,0,0,0,0,101,0,0,1808,578,83,129,46,31,46,30,34,21,16,156,217,421,1070,1018,884,134,1049,1018,884,876,8,134,132,2,31,2,29
"Census Tract M0050000","Census Tract M0050000, Montgomery County, Pennsylvania","140","420910M0050000","42","00M0050000","420","0910","G4200910M0050","4200910M0050","1960","23","046",1,0,0,0,0,0,0,0,0,0,0,2955,2955,2464,470,21,515,515,75,174,138,102,1354,649,528,450,450,67,162,125,94,1167,561,456,65,65,8,12,13,8,187,88,72,1705,744,187,95,67,114,51,63,29,49,55,94,73,84,802,788,375,413,793,788,375,306,69,413,384,29,5,1,4
"Census Tract M0051000","Census Tract M0051000, Montgomery County, Pennsylvania","140","420910M0051000","42","00M0051000","420","0910","G4200910M0051","4200910M0051","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,2675,2675,2570,92,13,524,492,120,224,164,138,945,526,446,498,477,120,224,164,138,884,526,446,26,15,0,0,0,0,61,0,0,1443,392,109,118,107,92,102,58,50,42,31,126,107,109,909,821,351,470,894,821,351,349,2,470,456,14,73,73,0
"Census Tract M0052000","Census Tract M0052000, Montgomery County, Pennsylvania","140","420910M0052000","42","00M0052000","420","0910","G4200910M0052","4200910M0052","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,2938,2938,2798,132,8,662,631,69,251,124,88,751,655,586,645,626,69,251,120,88,668,646,581,17,5,0,0,4,0,83,9,5,1422,118,146,146,86,75,74,30,71,37,56,171,124,288,1126,1093,570,523,1105,1093,570,566,4,523,514,9,12,6,6
"Census Tract M0053000","Census Tract M0053000, Montgomery County, Pennsylvania","140","420910M0053000","42","00M0053000","420","0910","G4200910M0053","4200910M0053","1960","23","046",1,0,0,0,0,0,0,0,0,0,0,2265,2265,1469,793,3,632,599,166,306,265,188,437,803,657,476,451,134,240,193,143,318,592,500,156,148,32,66,72,45,119,211,157,897,119,65,121,77,92,123,63,60,41,37,73,22,4,764,752,367,385,761,752,367,206,161,385,338,47,9,9,0
"Census Tract M0054000","Census Tract M0054000, Montgomery County, Pennsylvania","140","420910M0054000","42","00M0054000","420","0910","G4200910M0054","4200910M0054","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,6185,6185,6084,91,10,1369,1326,197,542,336,269,1494,1410,1221,1359,1326,197,542,336,269,1417,1410,1221,10,0,0,0,0,0,77,0,0,2990,646,191,209,137,133,159,130,109,116,46,329,406,379,2148,2078,1125,953,2130,2078,1125,1123,2,953,951,2,52,45,7
"Census Tract M0055000","Census Tract M0055000, Montgomery County, Pennsylvania","140","420910M0055000","42","00M0055000","420","0910","G4200910M0055","4200910M0055","1960","23","046",1,0,0,0,0,0,0,0,0,0,0,13608,13608,12768,824,16,3384,3255,753,1917,1304,1147,1358,4409,4023,3240,3138,712,1844,1239,1090,1204,4172,3872,144,117,41,73,65,57,154,237,151,4710,485,246,303,220,260,343,307,269,286,161,757,587,486,4146,3986,3175,811,4076,3986,3175,3041,134,811,754,57,90,76,14
"Census Tract M0056000","Census Tract M0056000, Montgomery County, Pennsylvania","140","420910M0056000","42","00M0056000","420","0910","G4200910M0056","4200910M0056","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,5109,5109,5103,3,3,1187,1151,272,601,445,363,441,1424,1303,1187,1151,272,601,445,363,437,1424,1303,0,0,0,0,0,0,4,0,0,1836,82,107,123,124,179,159,212,129,120,125,303,121,52,1773,1735,1119,616,1757,1735,1119,1119,0,616,615,1,22,18,4
"Census Tract M0057000","Census Tract M0057000, Montgomery County, Pennsylvania","140","420910M0057000","42","00M0057000","420","0910","G4200910M0057","4200910M0057","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,5306,5306,5236,70,0,1279,1143,389,754,687,555,176,1825,1619,1258,1122,382,740,673,541,176,1792,1598,21,21,7,14,14,14,0,33,21,1512,98,50,99,113,186,241,167,131,119,64,200,44,0,1505,1440,1008,432,1460,1440,1008,1006,2,432,421,11,20,15,5
"Census Tract M0058A00","Census Tract M0058A00, Montgomery County, Pennsylvania","140","420910M0058A00","42","00M005800A","420","0910","G4200910M0058A","4200910M0058A","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,257,257,257,0,0,61,61,10,25,31,20,40,76,71,61,61,10,25,31,20,40,76,71,0,0,0,0,0,0,0,0,0,101,18,10,5,18,7,0,11,3,3,3,18,0,5,89,89,21,68,89,89,27,27,0,62,62,0,0,0,0
"Census Tract M0058B00","Census Tract M0058B00, Montgomery County, Pennsylvania","140","420910M0058B00","42","00M005800B","420","0910","G4200910M0058B","4200910M0058B","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,8045,8045,8035,1,9,1852,1844,1137,1551,1557,1394,68,3915,3831,1852,1844,1137,1551,1557,1394,63,3915,3831,0,0,0,0,0,0,5,0,0,1964,37,17,17,17,150,216,263,274,295,199,407,64,8,1981,1941,1757,184,1963,1941,1759,1756,3,182,182,0,22,5,17
"Census Tract M0058C00","Census Tract M0058C00, Montgomery County, Pennsylvania","140","420910M0058C00","42","00M005800C","420","0910","G4200910M0058C","4200910M0058C","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,3327,3327,3323,0,4,791,751,303,541,499,442,81,1246,1159,791,751,303,541,499,442,81,1246,1159,0,0,0,0,0,0,0,0,0,925,27,26,39,90,79,116,115,109,89,80,118,21,16,906,883,784,99,893,883,784,784,0,99,99,0,10,7,3
"Census Tract M0059A00","Census Tract M0059A00, Montgomery County, Pennsylvania","140","420910M0059A00","42","00M005900A","420","0910","G4200910M0059A","4200910M0059A","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,2606,2606,2445,160,1,707,691,261,439,414,347,66,1056,992,662,646,261,426,400,338,51,1015,961,45,45,0,13,14,9,15,41,31,735,8,12,12,42,45,59,39,51,58,65,218,84,42,781,727,677,50,770,727,677,636,41,50,45,5,43,2,41
"Census Tract M0059B00","Census Tract M0059B00, Montgomery County, Pennsylvania","140","420910M0059B00","42","00M005900B","420","0910","G4200910M0059B","4200910M0059B","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,2861,2861,2836,20,5,711,666,263,468,385,330,78,1086,997,707,662,263,464,385,330,74,1078,993,4,4,0,4,0,0,4,8,4,768,22,40,33,24,49,100,83,82,85,33,153,57,7,773,755,658,97,760,755,658,652,6,97,96,1,5,1,4
"Census Tract M0060A00","Census Tract M0060A00, Montgomery County, Pennsylvania","140","420910M0060A00","42","00M006000A","420","0910","G4200910M0060A","4200910M0060A","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,2189,2189,2183,0,6,541,528,218,362,307,271,52,836,790,537,524,214,358,303,267,52,822,776,4,4,4,4,4,4,0,14,14,633,28,23,21,58,62,107,89,31,56,36,85,19,18,715,620,453,167,648,620,453,452,1,167,167,0,28,23,5
"Census Tract M0060B00","Census Tract M0060B00, Montgomery County, Pennsylvania","140","420910M0060B00","42","00M006000B","420","0910","G4200910M0060B","4200910M0060B","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,4877,4877,4840,33,4,1157,1139,401,703,679,556,260,1641,1522,1157,1139,401,703,679,556,260,1641,1522,0,0,0,0,0,0,0,0,0,1490,67,48,90,87,178,159,250,187,143,116,137,24,4,1420,1392,1211,181,1401,1392,1218,1218,0,174,174,0,9,5,4
"Census Tract M0060C00","Census Tract M0060C00, Montgomery County, Pennsylvania","140","420910M0060C00","42","00M006000C","420","0910","G4200910M0060C","4200910M0060C","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,2889,2889,2872,15,2,689,663,245,449,431,359,101,1205,939,689,663,245,449,431,359,97,1192,939,0,0,0,0,0,0,4,13,0,816,51,31,39,41,69,123,132,94,86,48,77,25,0,820,763,663,100,776,763,663,663,0,100,100,0,13,6,7
"Census Tract M0061A00","Census Tract M0061A00, Montgomery County, Pennsylvania","140","420910M0061A00","42","00M006100A","420","0910","G4200910M0061A","4200910M0061A","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,2487,2487,2460,27,0,570,557,167,324,317,265,82,733,716,570,557,167,324,317,265,74,733,716,0,0,0,0,0,0,8,0,0,651,36,34,66,35,58,104,94,65,59,48,36,16,0,648,620,509,111,630,620,509,507,2,111,110,1,10,6,4
"Census Tract M0061B00","Census Tract M0061B00, Montgomery County, Pennsylvania","140","420910M0061B00","42","00M006100B","420","0910","G4200910M0061B","4200910M0061B","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,3120,3120,3059,58,3,800,767,289,470,452,363,86,1112,1004,788,758,283,461,443,357,86,1080,975,12,9,6,9,9,6,0,32,29,949,46,43,47,58,96,141,117,91,79,81,102,34,14,930,902,677,225,914,902,677,668,9,225,224,1,12,6,6
"Census Tract M0062A00","Census Tract M0062A00, Montgomery County, Pennsylvania","140","420910M0062A00","42","00M006200A","420","0910","G4200910M0062A","4200910M0062A","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,2078,2078,2078,0,0,484,484,88,266,229,190,157,677,591,484,484,88,266,229,190,157,677,591,0,0,0,0,0,0,0,0,0,699,84,43,34,50,48,89,79,67,59,44,81,17,4,678,664,512,152,670,664,512,512,0,152,152,0,6,5,1
"Census Tract M0062B00","Census Tract M0062B00, Montgomery County, Pennsylvania","140","420910M0062B00","42","00M006200B","420","0910","G4200910M0062B","4200910M0062B","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,1891,1891,1891,0,0,460,439,136,241,235,194,141,619,520,460,439,136,241,235,194,141,619,520,0,0,0,0,0,0,0,0,0,654,48,40,75,60,72,82,82,57,32,41,54,11,0,629,601,379,222,620,601,379,379,0,222,222,0,19,17,2
"Census Tract M0063000","Census Tract M0063000, Montgomery County, Pennsylvania","140","420910M0063000","42","00M0063000","420","0910","G4200910M0063","4200910M0063","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,2254,2254,2246,7,1,359,355,134,227,182,162,898,523,469,359,355,134,227,182,162,895,523,469,0,0,0,0,0,0,3,0,0,1278,674,142,20,27,59,70,75,61,39,24,47,28,12,519,489,309,180,498,489,309,308,1,180,177,3,9,4,5
"Census Tract M0064000","Census Tract M0064000, Montgomery County, Pennsylvania","140","420910M0064000","42","00M0064000","420","0910","G4200910M0064","4200910M0064","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,1264,1264,1264,0,0,345,338,100,209,198,149,44,453,449,345,338,100,209,198,149,44,453,449,0,0,0,0,0,0,0,0,0,394,13,17,8,7,35,56,77,59,38,27,46,11,0,399,386,319,67,390,386,319,319,0,67,67,0,4,4,0
"Census Tract M0065000","Census Tract M0065000, Montgomery County, Pennsylvania","140","420910M0065000","42","00M0065000","420","0910","G4200910M0065","4200910M0065","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,1992,1992,1992,0,0,507,477,246,343,320,271,32,813,777,507,477,246,343,320,271,32,813,777,0,0,0,0,0,0,0,0,0,528,15,40,13,17,63,53,74,81,57,18,59,25,13,592,523,421,102,545,523,421,421,0,102,102,0,22,13,9
"Census Tract M0066000","Census Tract M0066000, Montgomery County, Pennsylvania","140","420910M0066000","42","00M0066000","420","0910","G4200910M0066","4200910M0066","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,620,620,617,0,3,160,156,39,108,89,77,30,241,227,160,156,39,108,89,77,30,241,227,0,0,0,0,0,0,0,0,0,203,27,9,9,8,30,17,38,17,17,9,17,5,0,196,190,108,82,193,190,108,108,0,82,82,0,3,3,0
"Census Tract M0067A00","Census Tract M0067A00, Montgomery County, Pennsylvania","140","420910M0067A00","42","00M006700A","420","0910","G4200910M0067A","4200910M0067A","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,2721,2721,2704,12,5,655,640,238,421,378,333,48,1050,949,655,640,238,421,378,333,48,1050,949,0,0,0,0,0,0,0,0,0,759,32,21,36,56,83,94,100,65,80,75,83,30,4,829,753,622,131,763,753,622,618,4,131,131,0,10,6,4
"Census Tract M0067B00","Census Tract M0067B00, Montgomery County, Pennsylvania","140","420910M0067B00","42","00M006700B","420","0910","G4200910M0067B","4200910M0067B","1960","23","046",1,0,1,0,0,0,0,1,0,0,0,2008,2008,837,1168,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract M0068000","Census Tract M0068000, Montgomery County, Pennsylvania","140","420910M0068000","42","00M0068000","420","0910","G4200910M0068","4200910M0068","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,3250,3250,3240,0,10,818,793,253,498,433,362,126,1202,1162,814,789,249,494,429,358,126,1190,1150,4,4,4,4,4,4,0,12,12,959,34,35,34,57,73,157,100,71,79,51,159,77,32,999,933,767,166,947,933,767,766,1,166,166,0,14,9,5
"Census Tract M0069000","Census Tract M0069000, Montgomery County, Pennsylvania","140","420910M0069000","42","00M0069000","420","0910","G4200910M0069","4200910M0069","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,3724,3724,3723,0,1,920,901,392,629,608,527,50,1438,1383,920,901,392,629,608,527,50,1438,1383,0,0,0,0,0,0,0,0,0,1016,21,23,41,69,88,100,123,159,92,70,206,12,12,1055,992,820,172,1016,992,820,820,0,172,172,0,24,12,12
"Census Tract M0070000","Census Tract M0070000, Montgomery County, Pennsylvania","140","420910M0070000","42","00M0070000","420","0910","G4200910M0070","4200910M0070","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,3389,3389,3364,25,0,858,842,338,537,465,408,44,1357,1283,850,834,334,533,461,404,44,1337,1275,8,8,4,4,4,4,0,20,8,937,20,40,43,80,123,157,117,136,56,46,80,31,8,953,913,747,166,921,913,747,744,3,166,166,0,8,4,4
"Census Tract M0071000","Census Tract M0071000, Montgomery County, Pennsylvania","140","420910M0071000","42","00M0071000","420","0910","G4200910M0071","4200910M0071","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,3910,3910,3905,4,1,939,906,359,626,535,481,85,1510,1425,936,903,359,626,532,481,85,1510,1425,3,3,0,0,3,0,0,0,0,1058,37,60,49,80,144,149,114,91,97,55,116,47,19,1057,1018,826,192,1032,1018,826,825,1,192,191,1,14,1,13
"Census Tract M0072A00","Census Tract M0072A00, Montgomery County, Pennsylvania","140","420910M0072A00","42","00M007200A","420","0910","G4200910M0072A","4200910M0072A","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,1952,1952,1952,0,0,492,470,131,262,253,199,95,637,577,492,470,131,262,253,199,95,637,577,0,0,0,0,0,0,0,0,0,637,20,24,52,55,80,103,73,88,45,37,48,8,4,669,633,438,195,655,633,438,438,0,195,195,0,22,15,7
"Census Tract M0072B00","Census Tract M0072B00, Montgomery County, Pennsylvania","140","420910M0072B00","42","00M007200B","420","0910","G4200910M0072B","4200910M0072B","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,3429,3429,3429,0,0,860,855,270,482,478,402,164,1144,1019,860,855,270,482,478,402,164,1144,1019,0,0,0,0,0,0,0,0,0,1086,45,64,55,126,112,148,122,107,80,58,133,24,12,1081,1048,842,206,1070,1048,842,842,0,206,206,0,22,9,13
"Census Tract M0073000","Census Tract M0073000, Montgomery County, Pennsylvania","140","420910M0073000","42","00M0073000","420","0910","G4200910M0073","4200910M0073","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,2183,2183,2180,3,0,541,534,198,332,325,274,40,783,727,538,531,198,332,322,274,35,783,727,3,3,0,0,3,0,5,0,0,640,18,16,35,54,61,108,103,85,52,28,54,18,8,668,625,518,107,654,625,518,518,0,107,106,1,29,13,16
"Census Tract M0074000","Census Tract M0074000, Montgomery County, Pennsylvania","140","420910M0074000","42","00M0074000","420","0910","G4200910M0074","4200910M0074","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,1068,1068,1067,0,1,276,269,104,193,146,109,24,442,436,276,269,104,193,146,109,24,442,436,0,0,0,0,0,0,0,0,0,296,7,12,6,21,29,30,66,64,25,16,16,4,0,328,285,231,54,294,285,231,231,0,54,54,0,9,4,5
"Census Tract M0075000","Census Tract M0075000, Montgomery County, Pennsylvania","140","420910M0075000","42","00M0075000","420","0910","G4200910M0075","4200910M0075","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,1273,1273,1267,5,1,318,314,96,196,158,140,41,450,413,318,314,96,196,158,140,41,450,413,0,0,0,0,0,0,0,0,0,405,22,42,27,36,45,40,49,31,11,25,43,30,4,482,387,295,92,406,387,295,294,1,92,92,0,19,10,9
"Census Tract M0076000","Census Tract M0076000, Montgomery County, Pennsylvania","140","420910M0076000","42","00M0076000","420","0910","G4200910M0076","4200910M0076","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,1875,1875,1856,14,5,456,449,147,283,230,206,166,679,656,453,446,144,280,227,203,162,656,633,3,3,3,3,3,3,4,23,23,631,112,34,45,41,80,71,52,48,58,38,42,10,0,609,499,379,120,513,499,379,375,4,120,118,2,14,7,7
"Census Tract M0077000","Census Tract M0077000, Montgomery County, Pennsylvania","140","420910M0077000","42","00M0077000","420","0910","G4200910M0077","4200910M0077","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,582,582,582,0,0,148,148,41,75,69,56,18,184,164,148,148,41,75,69,56,18,184,164,0,0,0,0,0,0,0,0,0,187,0,20,20,12,24,15,35,12,4,16,21,4,4,189,183,123,60,185,183,123,123,0,60,60,0,2,2,0
"Census Tract M0078000","Census Tract M0078000, Montgomery County, Pennsylvania","140","420910M0078000","42","00M0078000","420","0910","G4200910M0078","4200910M0078","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,2293,2293,2288,3,2,576,548,197,357,333,271,52,868,804,576,548,197,357,333,271,52,868,804,0,0,0,0,0,0,0,0,0,649,28,28,71,79,93,68,83,62,31,35,58,9,4,687,634,505,129,650,634,505,505,0,129,128,1,16,8,8
"Census Tract M0079000","Census Tract M0079000, Montgomery County, Pennsylvania","140","420910M0079000","42","00M0079000","420","0910","G4200910M0079","4200910M0079","1960","23","046",1,0,0,0,0,1,0,0,0,0,1,1086,1086,1086,0,0,283,276,68,155,157,123,45,360,339,283,276,68,155,157,123,45,360,339,0,0,0,0,0,0,0,0,0,346,35,34,12,18,40,35,54,41,32,12,20,13,0,362,342,248,94,358,342,248,248,0,94,94,0,16,14,2
